subjectID,sessionIdx,eventNumber,onsetTime,peakTime,offsetTime,duration,amplitude,direction,peakVelocity,strength,onsetIndex,peakIndex,offsetIndex,absAmplitude,absPeakVelocity,timeSincePrevious,passQC
FLIC_0013,3,4,9.9665,10.001,10.053,0.0865000000000009,-5.379366522294,-1,-85.5352441198666,460.125428694655,19934,20003,20107,5.379366522294,85.5352441198666,2.67,1
FLIC_0013,3,5,12.7405,12.7825,12.8115,0.0709999999999997,3.55143256807933,1,79.8926874879261,283.733492296004,25482,25566,25624,3.55143256807933,79.8926874879261,2.774,1
FLIC_0013,3,6,13.958,13.9695,14.061,0.103,-5.67489594790519,-1,-74.3688920434277,422.035724107447,27917,27940,28123,5.67489594790519,74.3688920434277,1.2175,1
FLIC_0013,3,7,15.2425,15.2685,15.3235,0.0809999999999995,-4.54188099944731,-1,-77.2534019663424,350.875758533596,30486,30538,30648,4.54188099944731,77.2534019663424,1.2845,1
FLIC_0013,3,8,16.6545,16.6945,16.7395,0.0850000000000009,5.67731589974852,1,93.904522554058,533.125638954448,33310,33390,33480,5.67731589974852,93.904522554058,1.412,1
FLIC_0013,3,9,18.0085,18.0355,18.09,0.0814999999999984,4.21779360804552,1,81.06472020338,341.914258711815,36018,36072,36181,4.21779360804552,81.06472020338,1.354,1
FLIC_0013,3,10,20.226,20.254,20.318,0.0920000000000023,4.08947107156406,1,127.04007344676,519.526705289898,40453,40509,40637,4.08947107156406,127.04007344676,2.2175,1
FLIC_0013,3,11,21.8505,21.862,21.8865,0.0360000000000014,-1.84239458059892,-1,-230.509521614013,424.689493398107,43702,43725,43774,1.84239458059892,230.509521614013,1.6245,1
FLIC_0013,3,12,22.1125,22.1545,22.194,0.0814999999999984,6.75557912475718,1,130.622938077271,882.433593689265,44226,44310,44389,6.75557912475718,130.622938077271,0.262,1
FLIC_0013,3,13,22.9515,22.9685,23.0745,0.123000000000001,-9.62906001619546,-1,-127.667554514933,1229.31854454519,45904,45938,46150,9.62906001619546,127.667554514933,0.838999999999999,1
FLIC_0013,3,14,23.7825,23.855,23.973,0.1905,10.7643672268075,1,116.152121142445,1250.3040861499,47566,47711,47947,10.7643672268075,116.152121142445,0.831,1
FLIC_0013,3,15,24.773,24.785,24.8375,0.0644999999999989,-2.67609151028579,-1,-74.9943265421511,200.691680579051,49547,49571,49676,2.67609151028579,74.9943265421511,0.990500000000001,1
FLIC_0013,4,1,6.028,6.0515,6.119,0.0910000000000002,5.67969839962837,1,82.9301076676079,471.017999800721,12057,12104,12239,5.67969839962837,82.9301076676079,NaN,1
FLIC_0013,4,2,7.4045,7.441,7.482,0.0775000000000006,3.92693765962613,1,81.8741060250582,321.514510298023,14810,14883,14965,3.92693765962613,81.8741060250582,1.3765,1
FLIC_0013,4,3,9.891,9.919,9.9745,0.0835000000000008,-4.62472044088645,-1,-86.5021597012427,400.048306151161,19783,19839,19950,4.62472044088645,86.5021597012427,2.4865,1
FLIC_0013,4,4,11.401,11.448,11.497,0.0960000000000001,5.70123603011149,1,85.4690404531709,487.279172890675,22803,22897,22995,5.70123603011149,85.4690404531709,1.51,1
FLIC_0013,4,5,18.0835,18.1115,18.1575,0.0739999999999981,3.9188201505264,1,87.7552926115566,343.897209001508,36168,36224,36316,3.9188201505264,87.7552926115566,6.6825,1
FLIC_0013,4,6,19.481,19.5305,19.5555,0.0744999999999969,-5.77836540981795,-1,-85.9781186919344,496.812987050696,38963,39062,39112,5.77836540981795,85.9781186919344,1.3975,1
FLIC_0013,4,7,21.674,21.7015,21.7285,0.0545000000000009,-3.41554233816508,-1,-106.880956573747,365.056432321216,43349,43404,43458,3.41554233816508,106.880956573747,2.193,1
FLIC_0013,4,8,22.3485,22.3625,22.368,0.0194999999999972,-4.44933336646391,-1,-144.909576959561,644.751015886344,44698,44726,44737,4.44933336646391,144.909576959561,0.674500000000002,1
FLIC_0013,4,9,23.261,23.3,23.349,0.088000000000001,-6.64154092830836,-1,-119.760902714769,795.396936991295,46523,46601,46699,6.64154092830836,119.760902714769,0.912499999999998,1
FLIC_0013,4,10,24.047,24.069,24.247,0.199999999999999,9.5991573471958,1,98.0000471578645,940.717872700949,48095,48139,48495,9.5991573471958,98.0000471578645,0.786000000000001,1
FLIC_0013,4,11,24.314,24.3285,24.379,0.0650000000000013,-4.40980988270021,-1,-85.4164829321404,376.670450579647,48629,48658,48759,4.40980988270021,85.4164829321404,0.266999999999999,1
FLIC_0015,1,1,4.659,4.686,4.73,0.0710000000000006,-3.50952862303319,-1,-76.4546456165102,268.319767155001,9319,9373,9461,3.50952862303319,76.4546456165102,NaN,1
FLIC_0015,1,2,6.2555,6.2875,6.326,0.0705,5.14168197833678,1,108.70472043361,558.92510201363,12512,12576,12653,5.14168197833678,108.70472043361,1.5965,1
FLIC_0015,1,3,7.5405,7.555,7.6095,0.069,3.08849278479853,1,74.7578176979967,230.888980567547,15082,15111,15220,3.08849278479853,74.7578176979967,1.285,1
FLIC_0015,1,4,8.89,8.92,8.9495,0.0594999999999999,-3.29662271543966,-1,-85.7467887656501,282.674811620849,17781,17841,17900,3.29662271543966,85.7467887656501,1.3495,1
FLIC_0015,1,5,10.2515,10.2765,10.3275,0.0760000000000005,-3.59186016586609,-1,-90.2542125550599,324.180510878131,20504,20554,20656,3.59186016586609,90.2542125550599,1.3615,1
FLIC_0015,1,6,11.94,11.962,12.016,0.0760000000000005,4.90612651375838,1,115.894589289726,568.593517315462,23881,23925,24033,4.90612651375838,115.894589289726,1.6885,1
FLIC_0015,1,7,13.0075,13.0285,13.0615,0.0540000000000003,2.55602465714716,1,75.4147867090489,192.762054341823,26016,26058,26124,2.55602465714716,75.4147867090489,1.0675,1
FLIC_0015,1,8,14.3375,14.3745,14.401,0.0634999999999994,-3.80612297078029,-1,-81.0317297000887,308.416727773567,28676,28750,28803,3.80612297078029,81.0317297000887,1.33,1
FLIC_0015,1,9,15.6615,15.6905,15.731,0.0694999999999997,-3.68411126929568,-1,-83.3754489895802,307.1644312051,31324,31382,31463,3.68411126929568,83.3754489895802,1.324,1
FLIC_0015,1,10,17.105,17.1275,17.18,0.0749999999999993,4.55681627205668,1,104.98934824766,478.41717048756,34211,34256,34361,4.55681627205668,104.98934824766,1.4435,1
FLIC_0015,1,11,18.3255,18.345,18.3865,0.0609999999999999,2.78970327860249,1,80.9911396741499,225.941247886728,36652,36691,36774,2.78970327860249,80.9911396741499,1.2205,1
FLIC_0015,1,12,20.8025,20.835,20.884,0.0815000000000019,-3.08032451426783,-1,-75.1934513797994,231.620231597602,41606,41671,41769,3.08032451426783,75.1934513797994,2.477,1
FLIC_0015,1,13,22.551,22.601,22.641,0.0899999999999999,-3.71215970361955,-1,-72.991616441779,270.956537257226,45103,45203,45283,3.71215970361955,72.991616441779,1.7485,1
FLIC_0015,1,14,22.9495,22.9685,23.005,0.0554999999999986,3.70578530740786,1,94.0430502406103,348.503353845473,45900,45938,46011,3.70578530740786,94.0430502406103,0.398500000000002,1
FLIC_0015,2,1,4.719,4.746,4.807,0.0880000000000001,-5.3936446914329,-1,-101.158287725378,545.611861584424,9439,9493,9615,5.3936446914329,101.158287725378,NaN,1
FLIC_0015,2,2,6.086,6.1065,6.1495,0.0634999999999994,4.29662192308206,1,118.240367400561,508.034154766528,12173,12214,12300,4.29662192308206,118.240367400561,1.367,1
FLIC_0015,2,3,7.418,7.4545,7.512,0.0939999999999994,5.09602978193046,1,96.805697706651,493.324718573651,14837,14910,15025,5.09602978193046,96.805697706651,1.332,1
FLIC_0015,2,4,8.759,8.7925,8.8255,0.0664999999999996,-4.80390011510402,-1,-104.689631587884,502.918533235233,17519,17586,17652,4.80390011510402,104.689631587884,1.341,1
FLIC_0015,2,5,10.0315,10.0545,10.105,0.073500000000001,-4.45769365666783,-1,-88.3256363682939,393.728628960094,20064,20110,20211,4.45769365666783,88.3256363682939,1.2725,1
FLIC_0015,2,6,11.7135,11.7385,11.7715,0.0579999999999998,4.25897690220093,1,106.99090722127,455.671802600912,23428,23478,23544,4.25897690220093,106.99090722127,1.682,1
FLIC_0015,2,7,12.901,12.9285,12.973,0.072000000000001,3.66632593659645,1,93.2160190307122,341.760308278569,25803,25858,25947,3.66632593659645,93.2160190307122,1.1875,1
FLIC_0015,2,8,14.233,14.257,14.3005,0.067499999999999,-5.25466832893956,-1,-114.951386509047,604.031410056778,28467,28515,28602,5.25466832893956,114.951386509047,1.332,1
FLIC_0015,2,9,15.4675,15.4915,15.5265,0.0590000000000011,-3.27708184934454,-1,-86.2078810458881,282.510282245933,30936,30984,31054,3.27708184934454,86.2078810458881,1.2345,1
FLIC_0015,2,10,16.851,16.882,16.9125,0.0615000000000023,4.52089747923249,1,103.380642947766,467.37328810399,33703,33765,33826,4.52089747923249,103.380642947766,1.3835,1
FLIC_0015,2,11,18.172,18.2035,18.253,0.0809999999999995,4.4316501605014,1,97.1630888485405,430.592818290446,36345,36408,36507,4.4316501605014,97.1630888485405,1.321,1
FLIC_0015,2,12,20.9465,20.9775,21.017,0.0704999999999991,-5.30621635379054,-1,-103.01329424825,546.610826597901,41894,41956,42035,5.30621635379054,103.01329424825,2.7745,1
FLIC_0015,2,13,22.708,22.729,22.747,0.0390000000000015,-1.52364350223215,-1,-57.4421425000062,87.5213471744278,45417,45459,45495,1.52364350223215,57.4421425000062,1.7615,1
FLIC_0015,2,14,23.365,23.385,23.3985,0.0335000000000001,1.92467269692315,1,62.8885737858419,121.039920914047,46731,46771,46798,1.92467269692315,62.8885737858419,0.657,1
FLIC_0015,2,15,23.7485,23.762,23.7875,0.0390000000000015,-4.25790550798023,-1,-128.555696069872,547.378006378139,47498,47525,47576,4.25790550798023,128.555696069872,0.383500000000002,1
FLIC_0015,2,16,23.998,24.0305,24.092,0.0939999999999976,-6.96446206281483,-1,-110.84906728576,772.004123810084,47997,48062,48185,6.96446206281483,110.84906728576,0.249500000000001,0
FLIC_0015,2,17,24.353,24.3665,24.427,0.0739999999999981,6.42029185656708,1,182.987602505595,1174.8338142194,48707,48734,48855,6.42029185656708,182.987602505595,0.355,1
FLIC_0015,2,18,24.733,24.802,24.852,0.119,-6.95933967605367,-1,-117.474988161394,817.548346055526,49467,49605,49705,6.95933967605367,117.474988161394,0.379999999999999,1
FLIC_0015,3,1,4.613,4.6465,4.6865,0.0734999999999992,-3.25269613328273,-1,-73.680018295975,239.658710611519,9227,9294,9374,3.25269613328273,73.680018295975,NaN,1
FLIC_0015,3,2,6.2725,6.3105,6.3385,0.0659999999999998,3.75170226332787,1,79.5352963458792,298.392751315288,12546,12622,12678,3.75170226332787,79.5352963458792,1.6595,1
FLIC_0015,3,3,7.441,7.458,7.5055,0.0644999999999998,2.56418946801568,1,58.5911242756798,150.238743786896,14883,14917,15012,2.56418946801568,58.5911242756798,1.1685,1
FLIC_0015,3,4,8.7325,8.761,8.801,0.0685000000000002,-3.19932104134678,-1,-70.5164257631408,225.604684704584,17466,17523,17603,3.19932104134678,70.5164257631408,1.2915,1
FLIC_0015,3,5,10.0015,10.036,10.0775,0.0760000000000005,-3.16050851782481,-1,-73.9164922153986,233.613703254498,20004,20073,20156,3.16050851782481,73.9164922153986,1.269,1
FLIC_0015,3,6,11.51,11.524,11.57,0.0600000000000005,3.54159922690536,1,84.6301021177335,299.725904233086,23021,23049,23141,3.54159922690536,84.6301021177335,1.5085,1
FLIC_0015,3,7,14.255,14.285,14.3255,0.0704999999999991,-3.27317017094792,-1,-69.5694472568355,227.712639570409,28511,28571,28652,3.27317017094792,69.5694472568355,2.745,1
FLIC_0015,3,8,15.374,15.406,15.456,0.081999999999999,-3.54300202663871,-1,-72.5869832910069,257.175828907628,30749,30813,30913,3.54300202663871,72.5869832910069,1.119,1
FLIC_0015,3,9,16.8905,16.922,16.9645,0.0740000000000016,3.86007920367932,1,78.3422406221393,302.407253795161,33782,33845,33930,3.86007920367932,78.3422406221393,1.5165,1
FLIC_0015,3,10,20.3805,20.412,20.445,0.0644999999999989,-3.34161589955268,-1,-69.7598062105556,233.110477582906,40762,40825,40891,3.34161589955268,69.7598062105556,3.49,1
FLIC_0015,3,11,21.781,21.793,21.817,0.0360000000000014,1.79095512255772,1,77.7894095167499,139.317341454763,43563,43587,43635,1.79095512255772,77.7894095167499,1.4005,1
FLIC_0015,3,12,22.569,22.6265,22.747,0.178000000000001,9.04936510726827,1,101.520107329749,918.692516955962,45139,45254,45495,9.04936510726827,101.520107329749,0.788,1
FLIC_0015,4,1,4.5835,4.6225,4.6335,0.0499999999999998,-5.65901572375187,-1,-107.148960349114,606.357651399303,9168,9246,9268,5.65901572375187,107.148960349114,NaN,1
FLIC_0015,4,2,6.124,6.1575,6.19,0.0660000000000007,5.46167590628162,1,105.098585932466,574.014414571618,12249,12316,12381,5.46167590628162,105.098585932466,1.5405,1
FLIC_0015,4,3,7.3635,7.3845,7.4295,0.0659999999999998,3.11823508586385,1,89.1375554105142,277.951852749199,14728,14770,14860,3.11823508586385,89.1375554105142,1.2395,1
FLIC_0015,4,4,8.782,8.8105,8.8395,0.0574999999999992,-3.97474604131748,-1,-89.928404043944,357.442567975666,17565,17622,17680,3.97474604131748,89.928404043944,1.4185,1
FLIC_0015,4,5,9.979,10.0065,10.051,0.072000000000001,-4.05863866277505,-1,-92.7766010282144,376.546699933966,19959,20014,20103,4.05863866277505,92.7766010282144,1.197,1
FLIC_0015,4,6,11.396,11.4205,11.4615,0.0654999999999983,4.6762848257896,1,97.1026009614972,454.079419420952,22793,22842,22924,4.6762848257896,97.1026009614972,1.417,1
FLIC_0015,4,7,12.724,12.7465,12.794,0.0700000000000003,3.89151126267777,1,101.341411758581,394.371245234183,25449,25494,25589,3.89151126267777,101.341411758581,1.328,1
